Id,Target,m_rate
mixed_img187,25,1_0
mixed_img188,25,1_0
mixed_img189,25,1_0
mixed_img190,25,1_0
mixed_img191,25,1_0
mixed_img192,25,1_0
mixed_img193,25,1_0
mixed_img194,25,1_0
mixed_img195,25,1_0
mixed_img196,25,1_0
mixed_img197,25 21,0.25_0.75
mixed_img198,25 21,0.25_0.75
mixed_img199,25 21,0.25_0.75
mixed_img200,25 21,0.25_0.75
mixed_img201,25 21,0.25_0.75
mixed_img202,25 21,0.25_0.75
mixed_img203,25 21,0.25_0.75
mixed_img204,25 21,0.25_0.75
mixed_img205,25 21,0.5_0.5
mixed_img206,25 21,0.5_0.5
mixed_img207,25 21,0.5_0.5
mixed_img208,25 21,0.5_0.5
mixed_img209,25 21,0.5_0.5
mixed_img210,25 21,0.5_0.5
mixed_img211,25 21,0.5_0.5
mixed_img212,25 21,0.5_0.5
mixed_img213,25 21,0.75_0.25
mixed_img214,25 21,0.75_0.25
mixed_img215,25 21,0.75_0.25
mixed_img216,25 21,0.75_0.25
mixed_img217,25 21,0.75_0.25
mixed_img218,25 21,0.75_0.25
mixed_img219,25 21,0.75_0.25
mixed_img220,25 21,0.75_0.25
mixed_img221,21,0_1
mixed_img222,21,0_1
mixed_img223,21,0_1
mixed_img224,21,0_1
mixed_img225,21,0_1
mixed_img226,21,0_1
mixed_img227,21,0_1
mixed_img228,21,0_1
mixed_img229,21,0_1
mixed_img230,21,0_1
