Id,Target,m_rate
001009_000,10 23,300_700
001009_024,10 23,300_700
001009_026,10 23,300_700
001009_028,10 23,300_700
001009_030,10 23,300_700
001009_052,10 23,300_700
001009_054,10 23,300_700
001009_056,10 23,300_700
001009_058,10 23,300_700
001010_000,10 23,300_412
001010_002,10 23,300_412
001010_004,10 23,300_412
001010_022,10 23,300_412
001010_024,10 23,300_412
001010_026,10 23,300_412
001010_028,10 23,300_412
001010_030,10 23,300_412
001010_052,10 23,300_412
001010_054,10 23,300_412
001010_056,10 23,300_412
001010_058,10 23,300_412
001011_000,10 23,300_242
001011_024,10 23,300_242
001011_026,10 23,300_242
001011_028,10 23,300_242
001011_030,10 23,300_242
001011_052,10 23,300_242
001011_054,10 23,300_242
001011_056,10 23,300_242
001011_058,10 23,300_242
001012_000,10 23,300_142
001012_002,10 23,300_142
001012_004,10 23,300_142
001012_006,10 23,300_142
001012_008,10 23,300_142
001012_010,10 23,300_142
001012_012,10 23,300_142
001012_014,10 23,300_142
001012_016,10 23,300_142
001012_018,10 23,300_142
001012_020,10 23,300_142
001012_022,10 23,300_142
001012_024,10 23,300_142
001012_026,10 23,300_142
001012_028,10 23,300_142
001012_030,10 23,300_142
001012_032,10 23,300_142
001012_034,10 23,300_142
001012_036,10 23,300_142
001012_038,10 23,300_142
001012_040,10 23,300_142
001012_042,10 23,300_142
001012_044,10 23,300_142
001012_046,10 23,300_142
001012_048,10 23,300_142
001012_050,10 23,300_142
001012_052,10 23,300_142
001012_054,10 23,300_142
001012_056,10 23,300_142
001012_058,10 23,300_142
001012_060,10 23,300_142
001012_062,10 23,300_142
001012_064,10 23,300_142
001012_066,10 23,300_142
001012_068,10 23,300_142
001013_000,10 23,300_84
001013_002,10 23,300_84
001013_004,10 23,300_84
001013_006,10 23,300_84
001013_008,10 23,300_84
001013_010,10 23,300_84
001013_012,10 23,300_84
001013_014,10 23,300_84
001013_016,10 23,300_84
001013_018,10 23,300_84
001013_020,10 23,300_84
001013_022,10 23,300_84
001013_024,10 23,300_84
001013_026,10 23,300_84
001013_028,10 23,300_84
001013_030,10 23,300_84
001013_032,10 23,300_84
001013_034,10 23,300_84
001013_036,10 23,300_84
001013_038,10 23,300_84
001013_040,10 23,300_84
001013_042,10 23,300_84
001013_044,10 23,300_84
001013_046,10 23,300_84
001013_048,10 23,300_84
001013_050,10 23,300_84
001013_052,10 23,300_84
001013_054,10 23,300_84
001013_056,10 23,300_84
001013_058,10 23,300_84
001013_060,10 23,300_84
001013_062,10 23,300_84
001013_064,10 23,300_84
001013_066,10 23,300_84
001013_068,10 23,300_84
001014_000,10 23,300_49
001014_002,10 23,300_49
001014_004,10 23,300_49
001014_022,10 23,300_49
001014_024,10 23,300_49
001014_026,10 23,300_49
001014_028,10 23,300_49
001014_030,10 23,300_49
001014_032,10 23,300_49
001014_052,10 23,300_49
001014_054,10 23,300_49
001014_056,10 23,300_49
001014_058,10 23,300_49
001015_000,10 23,300_25
001015_024,10 23,300_25
001015_026,10 23,300_25
001015_028,10 23,300_25
001015_030,10 23,300_25
001015_052,10 23,300_25
001015_054,10 23,300_25
001015_056,10 23,300_25
001015_058,10 23,300_25
001016_000,10,300_0
001016_002,10,300_0
001016_004,10,300_0
001016_006,10,300_0
001016_022,10,300_0
001016_024,10,300_0
001016_026,10,300_0
001016_028,10,300_0
001016_030,10,300_0
001016_032,10,300_0
001016_050,10,300_0
001016_052,10,300_0
001016_054,10,300_0
001016_056,10,300_0
001016_058,10,300_0
002009_000,10 23,214_700
002009_002,10 23,214_700
002009_004,10 23,214_700
002009_006,10 23,214_700
002009_008,10 23,214_700
002009_010,10 23,214_700
002009_012,10 23,214_700
002009_014,10 23,214_700
002009_016,10 23,214_700
002009_018,10 23,214_700
002009_020,10 23,214_700
002009_022,10 23,214_700
002009_024,10 23,214_700
002009_026,10 23,214_700
002009_028,10 23,214_700
002009_030,10 23,214_700
002009_032,10 23,214_700
002009_034,10 23,214_700
002009_036,10 23,214_700
002009_038,10 23,214_700
002009_040,10 23,214_700
002009_042,10 23,214_700
002009_044,10 23,214_700
002009_046,10 23,214_700
002009_048,10 23,214_700
002009_050,10 23,214_700
002009_052,10 23,214_700
002009_054,10 23,214_700
002009_056,10 23,214_700
002009_058,10 23,214_700
002009_060,10 23,214_700
002009_062,10 23,214_700
002009_064,10 23,214_700
002009_066,10 23,214_700
002009_068,10 23,214_700
002010_000,10 23,214_412
002010_002,10 23,214_412
002010_004,10 23,214_412
002010_006,10 23,214_412
002010_008,10 23,214_412
002010_010,10 23,214_412
002010_012,10 23,214_412
002010_014,10 23,214_412
002010_016,10 23,214_412
002010_018,10 23,214_412
002010_020,10 23,214_412
002010_022,10 23,214_412
002010_024,10 23,214_412
002010_026,10 23,214_412
002010_028,10 23,214_412
002010_030,10 23,214_412
002010_032,10 23,214_412
002010_034,10 23,214_412
002010_036,10 23,214_412
002010_038,10 23,214_412
002010_040,10 23,214_412
002010_042,10 23,214_412
002010_044,10 23,214_412
002010_046,10 23,214_412
002010_048,10 23,214_412
002010_050,10 23,214_412
002010_052,10 23,214_412
002010_054,10 23,214_412
002010_056,10 23,214_412
002010_058,10 23,214_412
002010_060,10 23,214_412
002010_062,10 23,214_412
002010_064,10 23,214_412
002010_066,10 23,214_412
002010_068,10 23,214_412
002011_000,10 23,214_242
002011_002,10 23,214_242
002011_004,10 23,214_242
002011_006,10 23,214_242
002011_008,10 23,214_242
002011_010,10 23,214_242
002011_012,10 23,214_242
002011_014,10 23,214_242
002011_016,10 23,214_242
002011_018,10 23,214_242
002011_020,10 23,214_242
002011_022,10 23,214_242
002011_024,10 23,214_242
002011_026,10 23,214_242
002011_028,10 23,214_242
002011_030,10 23,214_242
002011_032,10 23,214_242
002011_034,10 23,214_242
002011_036,10 23,214_242
002011_038,10 23,214_242
002011_040,10 23,214_242
002011_042,10 23,214_242
002011_044,10 23,214_242
002011_046,10 23,214_242
002011_048,10 23,214_242
002011_050,10 23,214_242
002011_052,10 23,214_242
002011_054,10 23,214_242
002011_056,10 23,214_242
002011_058,10 23,214_242
002011_060,10 23,214_242
002011_062,10 23,214_242
002011_064,10 23,214_242
002011_066,10 23,214_242
002011_068,10 23,214_242
002012_000,10 23,214_142
002012_002,10 23,214_142
002012_004,10 23,214_142
002012_006,10 23,214_142
002012_008,10 23,214_142
002012_010,10 23,214_142
002012_012,10 23,214_142
002012_014,10 23,214_142
002012_016,10 23,214_142
002012_018,10 23,214_142
002012_020,10 23,214_142
002012_022,10 23,214_142
002012_024,10 23,214_142
002012_026,10 23,214_142
002012_028,10 23,214_142
002012_030,10 23,214_142
002012_032,10 23,214_142
002012_034,10 23,214_142
002012_036,10 23,214_142
002012_038,10 23,214_142
002012_040,10 23,214_142
002012_042,10 23,214_142
002012_044,10 23,214_142
002012_046,10 23,214_142
002012_048,10 23,214_142
002012_050,10 23,214_142
002012_052,10 23,214_142
002012_054,10 23,214_142
002012_056,10 23,214_142
002012_058,10 23,214_142
002012_060,10 23,214_142
002012_062,10 23,214_142
002012_064,10 23,214_142
002012_066,10 23,214_142
002012_068,10 23,214_142
002013_000,10 23,214_84
002013_002,10 23,214_84
002013_004,10 23,214_84
002013_006,10 23,214_84
002013_008,10 23,214_84
002013_010,10 23,214_84
002013_012,10 23,214_84
002013_014,10 23,214_84
002013_016,10 23,214_84
002013_018,10 23,214_84
002013_020,10 23,214_84
002013_022,10 23,214_84
002013_024,10 23,214_84
002013_026,10 23,214_84
002013_028,10 23,214_84
002013_030,10 23,214_84
002013_032,10 23,214_84
002013_034,10 23,214_84
002013_036,10 23,214_84
002013_038,10 23,214_84
002013_040,10 23,214_84
002013_042,10 23,214_84
002013_044,10 23,214_84
002013_046,10 23,214_84
002013_048,10 23,214_84
002013_050,10 23,214_84
002013_052,10 23,214_84
002013_054,10 23,214_84
002013_056,10 23,214_84
002013_058,10 23,214_84
002013_060,10 23,214_84
002013_062,10 23,214_84
002013_064,10 23,214_84
002013_066,10 23,214_84
002013_068,10 23,214_84
002014_000,10 23,214_49
002014_002,10 23,214_49
002014_004,10 23,214_49
002014_006,10 23,214_49
002014_008,10 23,214_49
002014_010,10 23,214_49
002014_012,10 23,214_49
002014_014,10 23,214_49
002014_016,10 23,214_49
002014_018,10 23,214_49
002014_020,10 23,214_49
002014_022,10 23,214_49
002014_024,10 23,214_49
002014_026,10 23,214_49
002014_028,10 23,214_49
002014_030,10 23,214_49
002014_032,10 23,214_49
002014_034,10 23,214_49
002014_036,10 23,214_49
002014_038,10 23,214_49
002014_040,10 23,214_49
002014_042,10 23,214_49
002014_044,10 23,214_49
002014_046,10 23,214_49
002014_048,10 23,214_49
002014_050,10 23,214_49
002014_052,10 23,214_49
002014_054,10 23,214_49
002014_056,10 23,214_49
002014_058,10 23,214_49
002014_060,10 23,214_49
002014_062,10 23,214_49
002014_064,10 23,214_49
002014_066,10 23,214_49
002014_068,10 23,214_49
002015_000,10 23,214_25
002015_002,10 23,214_25
002015_004,10 23,214_25
002015_006,10 23,214_25
002015_008,10 23,214_25
002015_010,10 23,214_25
002015_012,10 23,214_25
002015_014,10 23,214_25
002015_016,10 23,214_25
002015_018,10 23,214_25
002015_020,10 23,214_25
002015_022,10 23,214_25
002015_024,10 23,214_25
002015_026,10 23,214_25
002015_028,10 23,214_25
002015_030,10 23,214_25
002015_032,10 23,214_25
002015_034,10 23,214_25
002015_036,10 23,214_25
002015_038,10 23,214_25
002015_040,10 23,214_25
002015_042,10 23,214_25
002015_044,10 23,214_25
002015_046,10 23,214_25
002015_048,10 23,214_25
002015_050,10 23,214_25
002015_052,10 23,214_25
002015_054,10 23,214_25
002015_056,10 23,214_25
002015_058,10 23,214_25
002015_060,10 23,214_25
002015_062,10 23,214_25
002015_064,10 23,214_25
002015_066,10 23,214_25
002015_068,10 23,214_25
002016_000,10,214_0
002016_002,10,214_0
002016_004,10,214_0
002016_006,10,214_0
002016_008,10,214_0
002016_010,10,214_0
002016_012,10,214_0
002016_014,10,214_0
002016_016,10,214_0
002016_018,10,214_0
002016_020,10,214_0
002016_022,10,214_0
002016_024,10,214_0
002016_026,10,214_0
002016_028,10,214_0
002016_030,10,214_0
002016_032,10,214_0
002016_034,10,214_0
002016_036,10,214_0
002016_038,10,214_0
002016_040,10,214_0
002016_042,10,214_0
002016_044,10,214_0
002016_046,10,214_0
002016_048,10,214_0
002016_050,10,214_0
002016_052,10,214_0
002016_054,10,214_0
002016_056,10,214_0
002016_058,10,214_0
002016_060,10,214_0
002016_062,10,214_0
002016_064,10,214_0
002016_066,10,214_0
002016_068,10,214_0
003009_000,10 23,153_700
003009_002,10 23,153_700
003009_004,10 23,153_700
003009_006,10 23,153_700
003009_008,10 23,153_700
003009_010,10 23,153_700
003009_012,10 23,153_700
003009_014,10 23,153_700
003009_016,10 23,153_700
003009_018,10 23,153_700
003009_020,10 23,153_700
003009_022,10 23,153_700
003009_024,10 23,153_700
003009_026,10 23,153_700
003009_028,10 23,153_700
003009_030,10 23,153_700
003009_032,10 23,153_700
003009_034,10 23,153_700
003009_036,10 23,153_700
003009_038,10 23,153_700
003009_040,10 23,153_700
003009_042,10 23,153_700
003009_044,10 23,153_700
003009_046,10 23,153_700
003009_048,10 23,153_700
003009_050,10 23,153_700
003009_052,10 23,153_700
003009_054,10 23,153_700
003009_056,10 23,153_700
003009_058,10 23,153_700
003009_060,10 23,153_700
003009_062,10 23,153_700
003009_064,10 23,153_700
003009_066,10 23,153_700
003009_068,10 23,153_700
003010_000,10 23,153_412
003010_002,10 23,153_412
003010_004,10 23,153_412
003010_006,10 23,153_412
003010_008,10 23,153_412
003010_010,10 23,153_412
003010_012,10 23,153_412
003010_014,10 23,153_412
003010_016,10 23,153_412
003010_018,10 23,153_412
003010_020,10 23,153_412
003010_022,10 23,153_412
003010_024,10 23,153_412
003010_026,10 23,153_412
003010_028,10 23,153_412
003010_030,10 23,153_412
003010_032,10 23,153_412
003010_034,10 23,153_412
003010_036,10 23,153_412
003010_038,10 23,153_412
003010_040,10 23,153_412
003010_042,10 23,153_412
003010_044,10 23,153_412
003010_046,10 23,153_412
003010_048,10 23,153_412
003010_050,10 23,153_412
003010_052,10 23,153_412
003010_054,10 23,153_412
003010_056,10 23,153_412
003010_058,10 23,153_412
003010_060,10 23,153_412
003010_062,10 23,153_412
003010_064,10 23,153_412
003010_066,10 23,153_412
003010_068,10 23,153_412
003011_000,10 23,153_242
003011_002,10 23,153_242
003011_004,10 23,153_242
003011_006,10 23,153_242
003011_008,10 23,153_242
003011_010,10 23,153_242
003011_012,10 23,153_242
003011_014,10 23,153_242
003011_016,10 23,153_242
003011_018,10 23,153_242
003011_020,10 23,153_242
003011_022,10 23,153_242
003011_024,10 23,153_242
003011_026,10 23,153_242
003011_028,10 23,153_242
003011_030,10 23,153_242
003011_032,10 23,153_242
003011_034,10 23,153_242
003011_036,10 23,153_242
003011_038,10 23,153_242
003011_040,10 23,153_242
003011_042,10 23,153_242
003011_044,10 23,153_242
003011_046,10 23,153_242
003011_048,10 23,153_242
003011_050,10 23,153_242
003011_052,10 23,153_242
003011_054,10 23,153_242
003011_056,10 23,153_242
003011_058,10 23,153_242
003011_060,10 23,153_242
003011_062,10 23,153_242
003011_064,10 23,153_242
003011_066,10 23,153_242
003011_068,10 23,153_242
003012_000,10 23,153_142
003012_002,10 23,153_142
003012_004,10 23,153_142
003012_006,10 23,153_142
003012_008,10 23,153_142
003012_010,10 23,153_142
003012_012,10 23,153_142
003012_014,10 23,153_142
003012_016,10 23,153_142
003012_018,10 23,153_142
003012_020,10 23,153_142
003012_022,10 23,153_142
003012_024,10 23,153_142
003012_026,10 23,153_142
003012_028,10 23,153_142
003012_030,10 23,153_142
003012_032,10 23,153_142
003012_034,10 23,153_142
003012_036,10 23,153_142
003012_038,10 23,153_142
003012_040,10 23,153_142
003012_042,10 23,153_142
003012_044,10 23,153_142
003012_046,10 23,153_142
003012_048,10 23,153_142
003012_050,10 23,153_142
003012_052,10 23,153_142
003012_054,10 23,153_142
003012_056,10 23,153_142
003012_058,10 23,153_142
003012_060,10 23,153_142
003012_062,10 23,153_142
003012_064,10 23,153_142
003012_066,10 23,153_142
003012_068,10 23,153_142
003013_000,10 23,153_84
003013_002,10 23,153_84
003013_004,10 23,153_84
003013_006,10 23,153_84
003013_008,10 23,153_84
003013_010,10 23,153_84
003013_012,10 23,153_84
003013_014,10 23,153_84
003013_016,10 23,153_84
003013_018,10 23,153_84
003013_020,10 23,153_84
003013_022,10 23,153_84
003013_024,10 23,153_84
003013_026,10 23,153_84
003013_028,10 23,153_84
003013_030,10 23,153_84
003013_032,10 23,153_84
003013_034,10 23,153_84
003013_036,10 23,153_84
003013_038,10 23,153_84
003013_040,10 23,153_84
003013_042,10 23,153_84
003013_044,10 23,153_84
003013_046,10 23,153_84
003013_048,10 23,153_84
003013_050,10 23,153_84
003013_052,10 23,153_84
003013_054,10 23,153_84
003013_056,10 23,153_84
003013_058,10 23,153_84
003013_060,10 23,153_84
003013_062,10 23,153_84
003013_064,10 23,153_84
003013_066,10 23,153_84
003013_068,10 23,153_84
003014_000,10 23,153_49
003014_002,10 23,153_49
003014_004,10 23,153_49
003014_006,10 23,153_49
003014_008,10 23,153_49
003014_010,10 23,153_49
003014_012,10 23,153_49
003014_014,10 23,153_49
003014_016,10 23,153_49
003014_018,10 23,153_49
003014_020,10 23,153_49
003014_022,10 23,153_49
003014_024,10 23,153_49
003014_026,10 23,153_49
003014_028,10 23,153_49
003014_030,10 23,153_49
003014_032,10 23,153_49
003014_034,10 23,153_49
003014_036,10 23,153_49
003014_038,10 23,153_49
003014_040,10 23,153_49
003014_042,10 23,153_49
