Id,Target,m_rate
mixed_img302,23,1_0
mixed_img303,23,1_0
mixed_img304,23,1_0
mixed_img305,23,1_0
mixed_img306,23 0,0.25_0.75
mixed_img307,23 0,0.25_0.75
mixed_img308,23 0,0.25_0.75
mixed_img309,23 0,0.25_0.75
mixed_img310,23 0,0.25_0.75
mixed_img311,23 0,0.25_0.75
mixed_img312,23 0,0.25_0.75
mixed_img313,23 0,0.25_0.75
mixed_img314,23 0,0.25_0.75
mixed_img315,23 0,0.25_0.75
mixed_img316,23 0,0.25_0.75
mixed_img317,23 0,0.25_0.75
mixed_img318,23 0,0.25_0.75
mixed_img319,23 0,0.25_0.75
mixed_img320,23 0,0.25_0.75
mixed_img321,23 0,0.25_0.75
mixed_img322,23 0,0.25_0.75
mixed_img323,23 0,0.25_0.75
mixed_img324,23 0,0.25_0.75
mixed_img325,23 0,0.25_0.75
mixed_img326,23 0,0.25_0.75
mixed_img327,23 0,0.25_0.75
mixed_img328,23 0,0.25_0.75
mixed_img329,23 0,0.25_0.75
mixed_img330,23 0,0.25_0.75
mixed_img331,23 0,0.25_0.75
mixed_img332,23 0,0.25_0.75
mixed_img333,23 0,0.25_0.75
mixed_img334,23 0,0.25_0.75
mixed_img335,23 0,0.5_0.5
mixed_img336,23 0,0.5_0.5
mixed_img337,23 0,0.5_0.5
mixed_img338,23 0,0.5_0.5
mixed_img339,23 0,0.5_0.5
mixed_img340,23 0,0.5_0.5
mixed_img341,23 0,0.5_0.5
mixed_img342,23 0,0.5_0.5
mixed_img343,23 0,0.5_0.5
mixed_img344,23 0,0.5_0.5
mixed_img345,23 0,0.5_0.5
mixed_img346,23 0,0.5_0.5
mixed_img347,23 0,0.5_0.5
mixed_img348,23 0,0.5_0.5
mixed_img349,23 0,0.5_0.5
mixed_img350,23 0,0.5_0.5
mixed_img351,23 0,0.5_0.5
mixed_img352,23 0,0.5_0.5
mixed_img353,23 0,0.5_0.5
mixed_img354,23 0,0.5_0.5
mixed_img355,23 0,0.5_0.5
mixed_img356,23 0,0.5_0.5
mixed_img357,23 0,0.5_0.5
mixed_img358,23 0,0.5_0.5
mixed_img359,23 0,0.5_0.5
mixed_img360,23 0,0.5_0.5
mixed_img361,23 0,0.5_0.5
mixed_img362,23 0,0.75_0.25
mixed_img363,23 0,0.75_0.25
mixed_img364,23 0,0.75_0.25
mixed_img365,23 0,0.75_0.25
mixed_img366,23 0,0.75_0.25
mixed_img367,23 0,0.75_0.25
mixed_img368,23 0,0.75_0.25
mixed_img369,23 0,0.75_0.25
mixed_img370,23 0,0.75_0.25
mixed_img371,23 0,0.75_0.25
mixed_img372,23 0,0.75_0.25
mixed_img373,23 0,0.75_0.25
mixed_img374,23 0,0.75_0.25
mixed_img375,23 0,0.75_0.25
mixed_img376,23 0,0.75_0.25
mixed_img377,23 0,0.75_0.25
mixed_img378,23 0,0.75_0.25
mixed_img379,23 0,0.75_0.25
mixed_img380,23 0,0.75_0.25
mixed_img381,23 0,0.75_0.25
mixed_img382,23 0,0.75_0.25
mixed_img383,23 0,0.75_0.25
mixed_img384,23 0,0.75_0.25
mixed_img385,23 0,0.75_0.25
mixed_img386,23 0,0.75_0.25
mixed_img387,23 0,0.75_0.25
mixed_img388,23 0,0.75_0.25
mixed_img389,0,0_1
mixed_img390,0,0_1
mixed_img391,0,0_1
mixed_img392,0,0_1
